============    FORTRESS SEED [123394]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
15 Unique character trees created -- <0>
[<.b097] added [<.dcb4] at [8, 4] -- <22>
[<.7c87] cloned to [<.93e4] at [11, 3] -- <22>
[<.1ea3] added [<.93e4] at [11, 3] -- <22>
[<. 39b] moved to [12, 2] -- <22>
[<.ff4e] moved to [11, 3] -- <22>
[<. b5e] moved to [6, 5] -- <22>
[<.8848] moved to [8, 4] -- <22>
[<.2f7c] moved to [10, 5] -- <22>
[<.7990] moved to [8, 5] -- <22>
[<.bcf6] moved to [9, 5] -- <22>
[<.26ac] moved to [10, 4] -- <22>
[<. 339] moved to [10, 6] -- <22>
[<.a5d7] moved to [11, 4] -- <22>
[<.8e15] moved to [10, 3] -- <22>
[<.ddc0] moved to [8, 5] -- <22>
[<.fee1] moved to [8, 3] -- <22>
[<.7c87] cloned to [<. d36] at [12, 4] -- <23>
[<.9cb6] added [<. d36] at [12, 4] -- <23>
[<.7c87] cloned to [<.7ceb] at [10, 4] -- <23>
[<.f9d5] added [<.7ceb] at [10, 4] -- <23>
[<.7c87] cloned to [<.c366] at [8, 4] -- <23>
[<.ba70] added [<.c366] at [8, 4] -- <23>
[<.7c87] cloned to [<.e08c] at [7, 3] -- <23>
[<.b097] added [<.e08c] at [7, 3] -- <23>
[<.7c87] cloned to [<.60df] at [8, 6] -- <23>
[<.e027] added [<.60df] at [8, 6] -- <23>
[<.7c87] cloned to [<.7562] at [11, 3] -- <23>
[<.1ea3] added [<.7562] at [11, 3] -- <23>
[<.7c87] cloned to [<. 454] at [12, 3] -- <23>
[<. 39b] added [<. 454] at [12, 3] -- <23>
[<.ff4e] moved to [10, 3] -- <23>
[<. b5e] moved to [5, 5] -- <23>
[<.8848] moved to [8, 5] -- <23>
[<.2f7c] moved to [11, 5] -- <23>
[<.7990] moved to [9, 5] -- <23>
[<.bcf6] moved to [9, 4] -- <23>
[<.26ac] moved to [10, 5] -- <23>
[<. 339] moved to [11, 6] -- <23>
[<.a5d7] moved to [12, 4] -- <23>
[<.8e15] moved to [9, 3] -- <23>
[<.ddc0] moved to [8, 4] -- <23>
[<.fee1] moved to [8, 4] -- <23>
[<.9782] moved to [10, 5] -- <23>
